"","genes","hgnc_symbol","ensembl_gene_id","entrezgene_id","gene_biotype"
"250","Spag9",NA,"ENSMUSG00000020859",70834,"protein_coding"
"251","Spata13",NA,"ENSMUSG00000021990",219140,"protein_coding"
"252","Srek1",NA,"ENSMUSG00000032621",218543,"protein_coding"
"253","Srgap2",NA,"ENSMUSG00000026425",14270,"protein_coding"
"254","Stard13",NA,"ENSMUSG00000016128",243362,"protein_coding"
"255","Stat3",NA,"ENSMUSG00000004040",20848,"protein_coding"
"256","Stk39",NA,"ENSMUSG00000027030",53416,"protein_coding"
"257","Syn1",NA,"ENSMUSG00000037217",20964,"protein_coding"
"258","Syn3",NA,"ENSMUSG00000059602",27204,"protein_coding"
"259","Syp",NA,"ENSMUSG00000031144",20977,"protein_coding"
"260","Syt4",NA,"ENSMUSG00000024261",20983,"protein_coding"
"261","Tbc1d14",NA,"ENSMUSG00000029192",100855,"protein_coding"
"262","Tm9sf3",NA,"ENSMUSG00000025016",107358,"protein_coding"
"263","Tmem178",NA,"ENSMUSG00000024245",68027,"protein_coding"
"264","Tmem33",NA,"ENSMUSG00000037720",67878,"protein_coding"
"265","Tmem57",NA,NA,NA,NA
"266","Tmem67",NA,"ENSMUSG00000049488",329795,"protein_coding"
"267","Tmod2",NA,"ENSMUSG00000032186",50876,"protein_coding"
"268","Tmx4",NA,"ENSMUSG00000034723",52837,"protein_coding"
"269","Tnfaip1",NA,"ENSMUSG00000017615",21927,"protein_coding"
"270","Tnik",NA,"ENSMUSG00000027692",665113,"protein_coding"
"271","Tnrc18",NA,"ENSMUSG00000039477",231861,"protein_coding"
"272","Tom1l2",NA,"ENSMUSG00000000538",216810,"protein_coding"
"273","Tppp",NA,"ENSMUSG00000021573",72948,"protein_coding"
"274","Trappc6b",NA,"ENSMUSG00000020993",78232,"protein_coding"
"275","Trim9",NA,"ENSMUSG00000021071",94090,"protein_coding"
"276","Trip12",NA,"ENSMUSG00000026219",14897,"protein_coding"
"277","Trp53bp1",NA,"ENSMUSG00000043909",27223,"protein_coding"
"278","Tspyl3",NA,"ENSMUSG00000074671",241732,"protein_coding"
"279","Ttc4",NA,"ENSMUSG00000025413",72354,"protein_coding"
"280","Ttc9",NA,"ENSMUSG00000042734",69480,"protein_coding"
"281","Txndc12",NA,"ENSMUSG00000028567",66073,"protein_coding"
"282","Ube3b",NA,"ENSMUSG00000029577",117146,"protein_coding"
"283","Ubfd1",NA,"ENSMUSG00000030870",28018,"protein_coding"
"284","Usp14",NA,"ENSMUSG00000047879",59025,"protein_coding"
"285","Usp32",NA,"ENSMUSG00000000804",237898,"protein_coding"
"286","Usp36",NA,"ENSMUSG00000033909",72344,"protein_coding"
"287","Usp42",NA,"ENSMUSG00000051306",76800,"protein_coding"
"288","Utrn",NA,"ENSMUSG00000019820",22288,"protein_coding"
"289","Vangl2",NA,"ENSMUSG00000026556",93840,"protein_coding"
"290","Vezt",NA,"ENSMUSG00000036099",215008,"protein_coding"
"291","Vim",NA,"ENSMUSG00000026728",22352,"protein_coding"
"292","Vopp1",NA,"ENSMUSG00000037788",232023,"protein_coding"
"293","Vti1a",NA,"ENSMUSG00000024983",53611,"protein_coding"
"294","Wasf2",NA,"ENSMUSG00000028868",242687,"protein_coding"
"295","Xkr6",NA,"ENSMUSG00000035067",219149,"protein_coding"
"296","Xpc",NA,"ENSMUSG00000030094",22591,"protein_coding"
"297","Xpr1",NA,"ENSMUSG00000026469",19775,"protein_coding"
"298","Yipf6",NA,"ENSMUSG00000047694",77929,"protein_coding"
"299","Ypel1",NA,"ENSMUSG00000022773",106369,"protein_coding"
"300","Ywhaz",NA,"ENSMUSG00000022285",22631,"protein_coding"
"301","Zbtb39",NA,"ENSMUSG00000044617",320080,"protein_coding"
"302","Zbtb7a",NA,"ENSMUSG00000035011",16969,"protein_coding"
"303","Zcchc24",NA,"ENSMUSG00000055538",71918,"protein_coding"
"304","Zfp26",NA,"ENSMUSG00000063108",22688,"protein_coding"
"305","Zfp467",NA,"ENSMUSG00000068551",68910,"protein_coding"
"306","Zfp619",NA,"ENSMUSG00000068959",70227,"protein_coding"
"307","Zfp704",NA,"ENSMUSG00000040209",170753,"protein_coding"
"308","Zfp91",NA,"ENSMUSG00000024695",109910,"protein_coding"
"309","Zhx3",NA,"ENSMUSG00000035877",320799,"protein_coding"
"310","Zmynd8",NA,"ENSMUSG00000039671",228880,"protein_coding"
"311","Znrf3",NA,"ENSMUSG00000041961",407821,"protein_coding"
